NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
1_2011,2011,4,18,Raven,West,12,295483,4417571,60,2.333333333
2_2011,2011,34,37,Success,West,12,295420,4417620,90,0
3_2011,2011,36,46,Success,West,12,299326,4419208,20,3
4_2011,2011,40,43,Success,West,12,295467,4417553,70,2.333333333
5_2011,2011,44,72,Abandon,West,12,295474,4417695,100,0
6_2011,2011,55,69,Coyote,West,12,299134,4419057,100,0
7_2011,2011,65,78,Success,West,12,299274,4418974,90,0
1_2012,2012,8,24,Coyote,West,12,295499,4417608,60,2
2_2012,2012,11,17,Raven,West,12,295500,4417652,60,3.333333333
3_2012,2012,15,26,Raven,West,12,294381,4422499,40,3
4_2012,2012,20,35,Success,West,12,291608,4420365,50,3.333333333
5_2012,2012,32,35,Success,West,12,299317,4419198,90,0
6_2012,2012,38,52,Success,West,12,299193,4419031,20,1.333333333
7_2012,2012,39,47,Fox,West,12,295522,4417672,60,3.666666667
8_2012,2012,43,53,Success,West,12,299026,4419134,90,0
9_2012,2012,54,79,Success,West,12,300227,4415066,50,2
10_2012,2012,59,60,Fox,West,12,290145,4421688,80,2.333333333
11_2012,2012,59,65,Success,West,12,300601,4416688,90,0
12_2012,2012,61,71,Success,West,12,292335,4421177,40,2.666666667
1_2013,2013,11,19,Success,West,12,295917,4420435,100,0
2_2013,2013,19,33,Success,West,12,295911,4420261,100,0
3_2013,2013,20,44,Fox,West,12,295486,4417574,30,3.333333333
4_2013,2013,34,49,Fox,West,12,295422,4417626,60,2.333333333
5_2013,2013,36,58,Success,GSL,12,400155,4512320,60,3.333333333
6_2013,2013,39,48,Success,GSL,12,400266,4512347,80,2.666666667
7_2013,2013,49,56,Success,West,12,295472,4417556,100,0
8_2013,2013,52,70,Success,West,12,295493,4417701,20,2.333333333
9_2013,2013,61,71,Coyote,West,12,295487,4417710,50,2.333333333
1_2014,2014,3,4,Gull,GSL,12,405961,4547355,60,1.333333333
2_2014,2014,4,14,Gull,GSL,12,399780,4511754,90,0.666666667
3_2014,2014,4,12,Raven,GSL,12,406121,4547712,80,1.666666667
4_2014,2014,5,20,Coyote,West,12,293680,4422187,20,3.666666667
5_2014,2014,6,9,Raven,West,12,294212,4424866,60,2.333333333
6_2014,2014,8,15,Success,West,12,298602,4418649,60,3.333333333
7_2014,2014,10,14,Raven,GSL,12,400018,4512098,90,1.333333333
8_2014,2014,12,19,Gull,GSL,12,406107,4547655,70,1
9_2014,2014,14,45,Fox,West,12,293836,4422182,70,3.333333333
10_2014,2014,14,19,Success,West,12,293815,4422415,70,4.333333333
11_2014,2014,14,22,Success,West,12,293805,4421416,50,3.333333333
12_2014,2014,15,20,Gull,GSL,12,400323,4512001,90,1.333333333
13_2014,2014,15,25,Raven,GSL,12,405930,4547377,40,1.666666667
14_2014,2014,17,25,Gull,GSL,12,405850,4547137,80,3.333333333
15_2014,2014,19,28,Success,West,12,293678,4422347,40,1.333333333
16_2014,2014,21,24,Raven,GSL,12,399981,4512343,50,2
17_2014,2014,22,26,Raven,GSL,12,400106,4512030,80,1.666666667
18_2014,2014,23,32,Fox,West,12,403849,4549133,40,1.333333333
19_2014,2014,23,32,Fox,West,12,292138,4422939,50,2.666666667
20_2014,2014,23,27,Gull,GSL,12,291891,4421214,50,4
21_2014,2014,26,36,Raven,GSL,12,293976,4426694,20,1.666666667
22_2014,2014,26,39,Success,West,12,400461,4512385,50,2.333333333
23_2014,2014,27,32,Raven,GSL,12,293995,4421702,40,3.333333333
24_2014,2014,27,43,Success,West,12,295079,4425591,10,3.333333333
25_2014,2014,27,36,Success,West,12,400547,4512097,70,1.333333333
26_2014,2014,27,37,Success,West,12,293899,4422023,60,2
27_2014,2014,29,35,Raven,GSL,12,400205,4512232,40,2
28_2014,2014,30,48,Fox,West,12,292665,4421531,100,0
29_2014,2014,33,40,Success,West,12,295277,4424738,50,2
30_2014,2014,35,43,Fox,West,12,295428,4424170,40,2.666666667
31_2014,2014,37,46,Gull,GSL,12,405338,4548929,40,2
32_2014,2014,38,42,Fox,GSL,12,291865,4421281,30,2.333333333
33_2014,2014,38,42,Success,West,12,400271,4512276,100,1.333333333
34_2014,2014,42,48,Fox,West,12,290402,4420894,60,3.333333333
35_2014,2014,42,52,Fox,West,12,292214,4423370,70,4.666666667
36_2014,2014,42,52,Gull,GSL,12,396497,4544946,90,1
37_2014,2014,43,50,Fox,GSL,12,400754,4512513,50,2
38_2014,2014,43,50,Fox,West,12,400293,4512116,100,0
39_2014,2014,43,50,Fox,West,12,396367,4545223,40,2.666666667
40_2014,2014,43,54,Success,GSL,12,290591,4421942,60,3
41_2014,2014,43,52,Success,GSL,12,293942,4421886,20,3
42_2014,2014,43,47,Success,West,12,290962,4421634,10,2.333333333
43_2014,2014,44,52,Success,West,12,293670,4422939,60,4.333333333
44_2014,2014,44,50,Success,West,12,291186,4421801,40,2
45_2014,2014,46,55,Success,GSL,12,401299,4513347,60,2.333333333
46_2014,2014,47,52,Success,GSL,12,401165,4513506,30,2.333333333
47_2014,2014,47,62,Success,GSL,12,397106,4544711,40,2.666666667
48_2014,2014,48,54,Success,West,12,293743,4421399,20,3.333333333
49_2014,2014,49,59,Success,West,12,293664,4422211,10,1.666666667
50_2014,2014,51,63,Coyote,GSL,12,396512,4545493,100,1
